Report year,Agency name,Is agency active,Administrating Agency Name,Portfolio,Nil return,Date created,Last return by agency,Staff spending 75 per cent plus time on FOI,Staff spending more than 0 less than 75 per cent time on FOI,Estimated APS staff hours where normal duties include FOI,Estimated SES staff hours where normal duties include FOI,Estimated staff hours APS 6 and EL1 to 2 involved in FOI,Estimated staff hours APS 1 to 5 involved in FOI,Estimated staff hours ministers and advisers involved in FOI,Estimated staff hours other ministerial staff involved in FOI,Staff spending 75 per cent time plus on IPS,Staff spending more than 0 less than 75 per cent time on IPS,Estimated APS staff hours where normal duties include IPS,Estimated SES staff hours where normal duties include IPS,Estimated staff hours APS 6 and EL1 to 2 involved in IPS,Estimated staff hours APS 1 to 5 involved in IPS,Admin costs FOI AUD,Admin costs IPS AUD,Legal costs FOI AUD,Legal costs IPS AUD,Litigation costs FOI AUD,Litigation costs IPS AUD,Training costs FOI AUD,Training costs IPS AUD,Other costs FOI AUD,Other costs IPS AUS
2017-2018,Australian Transaction Reports and Analysis Centre (AUSTRAC),TRUE,,Home Affairs,FALSE,24/07/2018 7:27,FALSE,4,9,6153,150,460,0,0,0,0,0,5,0,0,0,545,0,10134,0,0,0,1672,0,0,0
2017-2018,Australian Transport Safety Bureau,TRUE,,Infrastructure and Regional Development,FALSE,7/06/2018 13:53,FALSE,1,7,2000,200,400,0,0,0,0,2,100,0,0,0,400,0,0,0,0,0,0,0,0,0
2017-2018,Australian War Memorial,TRUE,,Defence,FALSE,27/07/2018 15:25,FALSE,0,1,1,1,15,0,0,0,0,0,1,1,15,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Bureau of Meteorology,TRUE,,Environment,FALSE,1/08/2018 14:03,FALSE,2,38,1647,130,220,40,0,0,0,0,20,4,2,0,100,0,41749,0,27735,0,1840,0,0,0
2017-2018,Cancer Australia,TRUE,,Health,FALSE,27/07/2018 11:03,FALSE,0,5,40,10,0,30,0,0,0,0,0,0,0,0,0,0,33822,0,0,0,0,0,0,0
2017-2018,Civil Aviation Safety Authority,TRUE,,Infrastructure and Regional Development,FALSE,29/06/2018 15:12,FALSE,1,2,2400,0,100,0,0,0,0,1,25,0,0,0,1000,0,0,0,0,0,0,0,0,0
2017-2018,Classification Board,TRUE,Department of Communications and the Arts,Communications and the Arts,TRUE,19/07/2018 16:47,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Classification Review Board,TRUE,Department of Communications and the Arts,Communications and the Arts,TRUE,19/07/2018 16:49,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Clean Energy Finance Corporation,TRUE,,Environment,FALSE,10/07/2018 15:52,FALSE,0,10,7,3,0,0,0,0,0,8,6,2,0,0,355,0,0,0,0,0,1760,0,0,0
2017-2018,Clean Energy Regulator,TRUE,,Environment,FALSE,27/06/2018 14:41,FALSE,0,30,193,51,154,9,0,0,0,10,35,5,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Climate Change Authority,TRUE,Department of the Environment and Energy,Environment,FALSE,22/06/2018 12:19,FALSE,0,0,0,0,0,0,0,0,0,2,0,2,0,6,0,0,0,0,0,0,0,0,0,0
